Código Programa,Nome do programa,Sigla IES,Grau acadêmico Atual do PPG,Nome Modalidade,Nota do Programa,Situação Programa,Programa em Forma Associativa,Área de Avaliação,Área Conhecimento,Grande área de conhecimento
31019013002P3,DIREITO,UCP,Mestrado,ACADÊMICO,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
26017008001P4,DIREITO,FADIC,Mestrado,ACADÊMICO,3,EM FUNCIONAMENTO,Não,DIREITO,HISTÓRIA DO DIREITO,CIÊNCIAS SOCIAIS APLICADAS
33032017009P2,Direitos Coletivos e Cidadania,UNAERP,Mestrado/Doutorado,ACADÊMICO,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
32017014001P7,Direitos Fundamentais,UI,Mestrado/Doutorado,ACADÊMICO,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
33092010011P1,DIREITO,UNINOVE,Mestrado/Doutorado,ACADÊMICO,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
42002010057P0,Direito,UFSM,Mestrado/Doutorado,ACADÊMICO,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITOS ESPECIAIS,CIÊNCIAS SOCIAIS APLICADAS
32005016036P0,Direito e Inovação,UFJF,Mestrado,ACADÊMICO,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
41007018003P3,DIREITO,UNOESC,Mestrado/Doutorado,ACADÊMICO,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
33254010001P6,Direito,FACEPD,Mestrado,ACADÊMICO,3,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
15004015007P6,Direitos Fundamentais,UNAMA,Mestrado,ACADÊMICO,3,EM FUNCIONAMENTO,Não,DIREITO,DIREITOS ESPECIAIS,CIÊNCIAS SOCIAIS APLICADAS
